SS316LN,laser pulse duration (ns),laser energy (mJ),loding rate (µN/s),Depth (nm),load (µN) ,time (s)
,0.00001,0.00001,2500,271.16505,8044.199934,2.00192
,0.00001,0.00001,2500,271.084029,8044.211748,2.006925
,0.00001,0.00001,2500,271.161828,8044.215995,2.01193
,0.00001,0.00001,2500,271.177807,8044.201407,2.016934
,0.00001,0.00001,2500,271.189173,8044.178649,2.021939
,0.00001,0.00001,2500,271.095148,8044.204165,2.026944
,0.00001,0.00001,2500,271.258827,8044.205817,2.031949
,0.00001,0.00001,2500,271.341621,8044.196136,2.036954
,0.00001,0.00001,2500,271.31479,8044.214508,2.041958
,0.00001,0.00001,2500,271.234982,8044.225351,2.046963
,0.00001,0.00001,2500,271.164528,8044.220378,2.051968
,0.00001,0.00001,2500,271.186513,8044.225056,2.056973
,0.00001,0.00001,2500,271.363867,8044.22408,2.061978
,0.00001,0.00001,2500,271.211984,8044.247958,2.066982
,0.00001,0.00001,2500,271.344822,8044.226628,2.071987
,0.00001,0.00001,2500,271.343588,8044.214568,2.076992
,0.00001,0.00001,2500,271.420698,8044.214776,2.081997
,0.00001,0.00001,2500,271.394095,8044.235165,2.087002
,0.00001,0.00001,2500,271.317494,8044.220972,2.092006
,0.00001,0.00001,2500,271.432156,8044.233298,2.097011
,0.00001,0.00001,2500,271.404623,8044.206424,2.102016
,0.00001,0.00001,2500,271.397495,8044.223344,2.107021
,0.00001,0.00001,2500,271.496871,8044.212121,2.112026
,0.00001,0.00001,2500,271.488808,8044.249115,2.11703
,0.00001,0.00001,2500,271.569191,8044.21625,2.122035
,0.00001,0.00001,2500,271.444204,8044.229834,2.12704
,0.00001,0.00001,2500,271.411973,8044.228957,2.132045
,0.00001,0.00001,2500,271.530355,8044.234353,2.13705
,0.00001,0.00001,2500,271.603648,8044.215358,2.142054
,0.00001,0.00001,2500,271.684642,8044.217686,2.147059
,0.00001,0.00001,2500,271.496326,8044.238523,2.152064
,0.00001,0.00001,2500,271.629892,8044.224248,2.157069
,0.00001,0.00001,2500,271.54344,8044.219827,2.162074
,0.00001,0.00001,2500,271.654417,8044.225014,2.167078
,0.00001,0.00001,2500,271.663299,8044.227311,2.172083
,0.00001,0.00001,2500,271.726217,8044.223097,2.177088
,0.00001,0.00001,2500,271.822582,8044.22385,2.182093
,0.00001,0.00001,2500,271.813405,8044.240712,2.187098
,0.00001,0.00001,2500,271.800498,8044.231337,2.192102
,0.00001,0.00001,2500,271.818356,8044.228863,2.197107
,0.00001,0.00001,2500,271.831113,8044.22725,2.202112
,0.00001,0.00001,2500,271.851764,8044.21581,2.207117
,0.00001,0.00001,2500,271.8568,8044.229054,2.212122
,0.00001,0.00001,2500,271.876984,8044.227651,2.217126
,0.00001,0.00001,2500,271.896538,8044.217185,2.222131
,0.00001,0.00001,2500,271.82917,8044.207273,2.227136
,0.00001,0.00001,2500,271.917845,8044.210824,2.232141
,0.00001,0.00001,2500,271.923654,8044.231125,2.237146
,0.00001,0.00001,2500,271.894058,8044.219268,2.24215
,0.00001,0.00001,2500,271.918658,8044.249146,2.247155
,0.00001,0.00001,2500,271.895505,8044.22139,2.25216
,0.00001,0.00001,2500,271.855393,8044.20622,2.257165
,0.00001,0.00001,2500,271.931171,8044.236542,2.26217
,0.00001,0.00001,2500,271.969408,8044.222585,2.267174
,0.00001,0.00001,2500,271.953491,8044.225185,2.272179
